»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				1/16/2024 - 11:22:53
Configured:			01/16/24 11:09:13 AM
Executed:			01/16/24 11:22:25 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		1.03e+000
Sample Thickness (µm):		1.15e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2300.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 433		4.2651e+001	6.2455		10.0518
 434		4.2749e+001	6.1506		10.0197
 435		4.2847e+001	6.0902		9.9967
 436		4.2946e+001	6.0073		9.9658
 437		4.3044e+001	5.9337		9.9388
 438		4.3143e+001	5.8508		9.9083
 439		4.3242e+001	5.7758		9.8785
 440		4.3340e+001	5.6948		9.8516
 441		4.3438e+001	5.6152		9.8187
 442		4.3537e+001	5.5283		9.7815
 443		4.3636e+001	5.4587		9.7522
 444		4.3734e+001	5.3777		9.7194
 445		4.3833e+001	5.3048		9.6842
 446		4.3931e+001	5.2066		9.6587
 447		4.4029e+001	5.1316		9.6141
 448		4.4128e+001	5.0520		9.5797
 449		4.4227e+001	4.9843		9.5469
 450		4.4325e+001	4.8928		9.5171
 451		4.4423e+001	4.8185		9.4725
 452		4.4522e+001	4.7375		9.4424
 453		4.4621e+001	4.6579		9.3974
 454		4.4719e+001	4.5909		9.3607
 455		4.4818e+001	4.5073		9.3267
 456		4.4916e+001	4.4191		9.2797
 457		4.5014e+001	4.3461		9.2437
 458		4.5113e+001	4.2658		9.1925
 459		4.5212e+001	4.1935		9.1573
 460		4.5310e+001	4.1166		9.1131
 461		4.5408e+001	4.0449		9.0681
 462		4.5507e+001	3.9653		9.0227
 463		4.5605e+001	3.8678		8.9750
 464		4.5704e+001	3.7981		8.9296
 465		4.5803e+001	3.7265		8.8749
 466		4.5901e+001	3.6376		8.8354
 467		4.5999e+001	3.5759		8.7810
 468		4.6098e+001	3.4817		8.7345
 469		4.6197e+001	3.4014		8.6774
 470		4.6295e+001	3.3251		8.6250
 471		4.6394e+001	3.2488		8.5710
 472		4.6492e+001	3.1639		8.5147
 473		4.6590e+001	3.1121		8.4575
 474		4.6689e+001	3.0066		8.3973
 475		4.6788e+001	2.9257		8.3363
 476		4.6886e+001	2.8527		8.2776
 477		4.6984e+001	2.7824		8.2135
 478		4.7083e+001	2.6935		8.1482
 479		4.7182e+001	2.6225		8.0793
 480		4.7280e+001	2.5502		8.0148
 481		4.7379e+001	2.4786		7.9479
 482		4.7477e+001	2.3870		7.8736
 483		4.7575e+001	2.3061		7.8004
