»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				9/22/2023 - 16:17:15
Configured:			09/22/23 03:55:16 PM
Executed:			09/22/23 04:16:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.46e-001
Sample Thickness (µm):		1.14e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2272.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 286		2.8171e+001	17.7907		15.9473
 287		2.8270e+001	17.7236		15.9468
 288		2.8368e+001	17.6316		15.9324
 289		2.8467e+001	17.5550		15.9316
 290		2.8565e+001	17.4851		15.9252
 291		2.8663e+001	17.4052		15.9171
 292		2.8762e+001	17.3287		15.9019
 293		2.8860e+001	17.2514		15.9032
 294		2.8959e+001	17.1715		15.8896
 295		2.9058e+001	17.0795		15.8785
 296		2.9156e+001	17.0177		15.8747
 297		2.9255e+001	16.9371		15.8658
 298		2.9353e+001	16.8592		15.8624
 299		2.9451e+001	16.7739		15.8425
 300		2.9550e+001	16.6900		15.8370
 301		2.9648e+001	16.6114		15.8285
 302		2.9747e+001	16.5328		15.8149
 303		2.9846e+001	16.4670		15.8069
 304		2.9944e+001	16.3696		15.7929
 305		3.0043e+001	16.3025		15.7878
 306		3.0141e+001	16.2145		15.7835
 307		3.0240e+001	16.1393		15.7700
 308		3.0338e+001	16.0654		15.7572
 309		3.0436e+001	15.9895		15.7521
 310		3.0535e+001	15.8894		15.7424
 311		3.0634e+001	15.8357		15.7267
 312		3.0732e+001	15.7457		15.7229
 313		3.0831e+001	15.6806		15.7076
 314		3.0929e+001	15.5798		15.6966
 315		3.1028e+001	15.5194		15.6817
 316		3.1126e+001	15.4347		15.6733
 317		3.1224e+001	15.3568		15.6643
 318		3.1323e+001	15.2601		15.6516
 319		3.1422e+001	15.1943		15.6410
 320		3.1520e+001	15.1191		15.6266
 321		3.1619e+001	15.0492		15.6253
 322		3.1717e+001	14.9619		15.6028
 323		3.1816e+001	14.8874		15.5939
 324		3.1914e+001	14.8055		15.5825
 325		3.2013e+001	14.7181		15.5770
 326		3.2111e+001	14.6543		15.5638
 327		3.2209e+001	14.5711		15.5464
 328		3.2308e+001	14.4918		15.5392
 329		3.2407e+001	14.4139		15.5231
 330		3.2505e+001	14.3353		15.5125
 331		3.2603e+001	14.2635		15.5053
 332		3.2702e+001	14.1815		15.4862
 333		3.2801e+001	14.0915		15.4722
 334		3.2899e+001	14.0116		15.4607
 335		3.2998e+001	13.9424		15.4455
 336		3.3096e+001	13.8612		15.4306
 337		3.3194e+001	13.7873		15.4183
 338		3.3293e+001	13.7027		15.4090
 339		3.3392e+001	13.6322		15.3882
 340		3.3490e+001	13.5455		15.3746
 341		3.3589e+001	13.4824		15.3653
 342		3.3687e+001	13.3985		15.3517
 343		3.3785e+001	13.3098		15.3348
 344		3.3884e+001	13.2353		15.3246
 345		3.3983e+001	13.1567		15.3072
 346		3.4081e+001	13.0841		15.2928
 347		3.4179e+001	13.0029		15.2822
 348		3.4278e+001	12.9122		15.2601
 349		3.4377e+001	12.8491		15.2499
 350		3.4475e+001	12.7571		15.2313
 351		3.4574e+001	12.6792		15.2219
 352		3.4672e+001	12.6086		15.2050
 353		3.4770e+001	12.5334		15.1901
 354		3.4869e+001	12.4468		15.1749
 355		3.4968e+001	12.3756		15.1553
 356		3.5066e+001	12.2702		15.1422
 357		3.5164e+001	12.2090		15.1227
 358		3.5263e+001	12.1352		15.1032
 359		3.5361e+001	12.0687		15.0887
 360		3.5460e+001	11.9787		15.0714
 361		3.5559e+001	11.9075		15.0574
 362		3.5657e+001	11.8249		15.0421
 363		3.5755e+001	11.7302		15.0268
 364		3.5854e+001	11.6650		15.0060
 365		3.5953e+001	11.5912		14.9878
 366		3.6051e+001	11.5032		14.9717
 367		3.6150e+001	11.4280		14.9505
 368		3.6248e+001	11.3494		14.9339
 369		3.6346e+001	11.2775		14.9136
 370		3.6445e+001	11.1922		14.8987
 371		3.6544e+001	11.1123		14.8813
 372		3.6642e+001	11.0351		14.8593
 373		3.6740e+001	10.9713		14.8423
 374		3.6839e+001	10.8806		14.8249
 375		3.6938e+001	10.8101		14.8020
 376		3.7036e+001	10.7228		14.7880
 377		3.7135e+001	10.6556		14.7689
 378		3.7233e+001	10.5677		14.7452
 379		3.7331e+001	10.4864		14.7244
 380		3.7430e+001	10.3991		14.7049
 381		3.7529e+001	10.3373		14.6828
 382		3.7627e+001	10.2460		14.6620
 383		3.7725e+001	10.1761		14.6387
 384		3.7824e+001	10.0989		14.6226
 385		3.7922e+001	10.0290		14.5967
 386		3.8021e+001	9.9444		14.5780
 387		3.8120e+001	9.8625		14.5636
 388		3.8218e+001	9.7550		14.5331
 389		3.8316e+001	9.7013		14.5157
 390		3.8415e+001	9.6341		14.4962
 391		3.8514e+001	9.5435		14.4695
 392		3.8612e+001	9.4669		14.4495
 393		3.8711e+001	9.3930		14.4224
 394		3.8809e+001	9.3037		14.4016
 395		3.8907e+001	9.2244		14.3774
 396		3.9006e+001	9.1445		14.3554
 397		3.9105e+001	9.0754		14.3299
 398		3.9203e+001	8.9988		14.3040
 399		3.9301e+001	8.9202		14.2794
 400		3.9400e+001	8.8336		14.2574
 401		3.9499e+001	8.7664		14.2315
 402		3.9597e+001	8.6825		14.2031
 403		3.9696e+001	8.5891		14.1840
 404		3.9794e+001	8.5199		14.1539
 405		3.9892e+001	8.4487		14.1280
 406		3.9991e+001	8.3614		14.1030
 407		4.0090e+001	8.2903		14.0746
 408		4.0188e+001	8.2123		14.0432
 409		4.0286e+001	8.1398		14.0254
 410		4.0385e+001	8.0471		13.9952
 411		4.0483e+001	7.9766		13.9647
 412		4.0582e+001	7.8960		13.9397
 413		4.0681e+001	7.8127		13.9087
 414		4.0779e+001	7.7395		13.8807
 415		4.0877e+001	7.6516		13.8451
 416		4.0976e+001	7.5810		13.8243
 417		4.1075e+001	7.5018		13.7895
 418		4.1173e+001	7.4407		13.7611
 419		4.1272e+001	7.3493		13.7276
 420		4.1370e+001	7.2687		13.6996
